model,time_bin,items,accuracy,ci_low,ci_high,median_human_seconds
gpt-4.1,1,12,1.0,0.7575059933447589,0.9999999999999999,21.013525
gpt-4.1,2,12,0.9166666666666666,0.646120088858883,0.9851349055950829,25.127755
gpt-4.1,3,12,0.9166666666666666,0.646120088858883,0.9851349055950829,28.755775
gpt-4.1,4,12,0.8333333333333334,0.5519691377470265,0.9530348578161462,36.8831
gpt-5-mini,1,12,0.9166666666666666,0.646120088858883,0.9851349055950829,21.013525
gpt-5-mini,2,12,0.8333333333333334,0.5519691377470265,0.9530348578161462,25.127755
gpt-5-mini,3,12,0.9166666666666666,0.646120088858883,0.9851349055950829,28.755775
gpt-5-mini,4,12,0.75,0.46769466506643426,0.9110583316059453,36.8831
gpt-5.4,1,12,1.0,0.7575059933447589,0.9999999999999999,21.013525
gpt-5.4,2,12,0.9166666666666666,0.646120088858883,0.9851349055950829,25.127755
gpt-5.4,3,12,0.9166666666666666,0.646120088858883,0.9851349055950829,28.755775
gpt-5.4,4,12,0.8333333333333334,0.5519691377470265,0.9530348578161462,36.8831
